framework,version,algorithm,data_type,repetition,dataset_size,speedup,optimized_time_s,baseline_time_s,baseline_framework
c,AllHints,3mm,DOUBLE,1,EXTRALARGE,119.2041473480316,0.3624163333333333,43.20153,c
c,AllHints,3mm,DOUBLE,2,EXTRALARGE,117.72635405492066,0.3669656666666667,43.20153,c
c,AllHints,3mm,DOUBLE,4,EXTRALARGE,115.49131974457362,0.3740673333333333,43.20153,c
c,AllHints,3mm,DOUBLE,5,EXTRALARGE,69.66520496755521,0.6201306666666667,43.20153,c
c,ChooseHints,3mm,DOUBLE,1,EXTRALARGE,118.04288010783783,0.36598166666666665,43.20153,c
c,ChooseHints,3mm,DOUBLE,2,EXTRALARGE,117.43364916671271,0.36788033333333336,43.20153,c
c,ChooseHints,3mm,DOUBLE,3,EXTRALARGE,121.33204953093154,0.35606033333333337,43.20153,c
c,ChooseHints,3mm,DOUBLE,4,EXTRALARGE,114.34330361042075,0.377823,43.20153,c
c,FromPlan,3mm,DOUBLE,1,EXTRALARGE,6.742481696839417,6.4073633333333335,43.20153,c
c,FromPlan,3mm,DOUBLE,2,EXTRALARGE,192.47730006683003,0.22445,43.20153,c
c,FromPlan,3mm,DOUBLE,3,EXTRALARGE,8.284338469462586,5.214843666666667,43.20153,c
c,FromPlan,3mm,DOUBLE,4,EXTRALARGE,7.934506762060223,5.444765666666666,43.20153,c
c,FromPlan,3mm,DOUBLE,5,EXTRALARGE,6.726371653748615,6.422709333333334,43.20153,c
c,Naive,3mm,DOUBLE,1,EXTRALARGE,3.6147533946938304,11.951445999999999,43.20153,c
c,Naive,3mm,DOUBLE,2,EXTRALARGE,8.489110972003497,5.089052333333334,43.20153,c
c,Naive,3mm,DOUBLE,3,EXTRALARGE,3.689643477765518,11.708863000000001,43.20153,c
c,Naive,3mm,DOUBLE,4,EXTRALARGE,3.6646171268128924,11.788825000000001,43.20153,c
c,Naive,3mm,DOUBLE,5,EXTRALARGE,3.5477888436339793,12.177029666666668,43.20153,c
c,standard,3mm,DOUBLE,1,EXTRALARGE,1.0,43.20153,43.20153,c
exo,AllHints,3mm,DOUBLE,3,EXTRALARGE,110.5981818507643,0.390617,43.20153,c
exo,AllHints,3mm,DOUBLE,4,EXTRALARGE,49.26752879254354,0.8768763333333333,43.20153,c
exo,ChooseHints,3mm,DOUBLE,1,EXTRALARGE,119.02701615532474,0.3629556666666667,43.20153,c
exo,ChooseHints,3mm,DOUBLE,2,EXTRALARGE,124.62267398478426,0.34665866666666667,43.20153,c
exo,ChooseHints,3mm,DOUBLE,3,EXTRALARGE,122.75533341668277,0.35193199999999997,43.20153,c
exo,ChooseHints,3mm,DOUBLE,4,EXTRALARGE,122.06017278060365,0.35393633333333335,43.20153,c
